Bills, Buffalo/501/BUF/0//6.52/d
Colts, Indianapolis/502/IND/0//6.05/d
Dolphins, Miami/503/MIA/0//4.96/d
Patriots, New England/504/NEP/0//6.64/d
Jets, New York/505/NYJ/0//5.31/d
Bengals, Cincinnati/506/CIN/0//4.8/d
Browns, Cleveland/507/CLE/0//6.77/d
Titans, Tennessee/508/TEN/0//5.92/d
Jaguars, Jacksonville/509/JAC/0//8.48/d
Steelers, Pittsburgh/510/PIT/0//6.01/d
Broncos, Denver/511/DEN/4//6.68/d
Chiefs, Kansas City/512/KCC/2//5.83/d
Raiders, Oakland/513/OAK/0//3.9/d
Chargers, Los Angeles/514/LAC/10//6.93/d
Seahawks, Seattle/515/SEA/8//6.08/d
Cowboys, Dallas/516/DAL/0//6.5/d
Giants, New York/517/NYG/0//5.02/d
Eagles, Philadelphia/518/PHI/7//6.35/d
Cardinals, Arizona/519/ARI/0//5.13/d
Redskins, Washington/520/WAS/0//5.2/d
Bears, Chicago/521/CHI/3//9.95/d
Lions, Detroit/522/DET/0//5.09/d
Packers, Green Bay/523/GBP/6//5.65/d
Vikings, Minnesota/524/MIN/1//7.26/d
Buccaneers, Tampa Bay/525/TBB/5//4.91/d
Falcons, Atlanta/526/ATL/0//5.74/d
Panthers, Carolina/527/CAR/0//5.54/d
Rams, Los Angeles/528/LAR/0//7.98/d
Saints, New Orleans/529/NOS/0//6.68/d
49ers, San Francisco/530/SFO/0//5.02/d
Ravens, Baltimore/531/BAL/9//7.6/d
Texans, Houston/532/HOU/0//6.86/d
Vinatieri, Adam/2842/IND/0//5.19/k
Dawson, Phil/3494/FA/0//2.39/k
Nix, Roosevelt/4397/PIT/0//2.06/r
Brees, Drew/4925/NOS/0//15.32/q
Janikowski, Sebastian/5666/FA/0//4.42/k
Brady, Tom/5848/NEP/10//13.45/q
McCown, Josh/6589/PHI/0//5.93/q
Bryant, Matt/6789/ATL/0//3.29/k
Witten, Jason/6997/DAL/8//1.72/t
Gates, Antonio/7236/FA/0//1.72/t
Manning, Eli/7391/NYG/0//7.23/q
Fitzgerald, Larry/7393/ARI/0//5.32/w
Rivers, Philip/7394/LAC/0//11.4/q
Roethlisberger, Ben/7401/PIT/0//14.6/q
Watson, Ben/7422/NEP/5//1.72/t
Schaub, Matt/7480/ATL/0//5.93/q
Smith, Alex/7813/WAS/0//5.93/q
Rodgers, Aaron/7836/GBP/8/2020/23/q
Nugent, Mike/7859/FA/0//2.39/k
Gore, Frank/7877/BUF/0//2.3/r
Sproles, Darren/7942/PHI/0//2.06/r
Anderson, Derek/8025/FA/0//5.93/q
Cassel, Matt/8042/FA/0//5.93/q
Fitzpatrick, Ryan/8062/MIA/0//6.29/q
Novak, Nick/8144/FA/0//4.71/k
Gould, Robbie/8153/SFO/0//5.13/k
Davis, Vernon/8247/WAS/7//1.72/t
Cutler, Jay/8252/FA/0//8.74/q
Lewis, Marcedes/8269/GBP/0//1.72/t
Gostkowski, Stephen/8359/NEP/1//5.64/k
