"Rank","Tier","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","undefined","","Ezekiel Elliott","DAL","RB1","8","1","3","2.0","1.0","4.0","+3.0"
"2","undefined","","Christian McCaffrey","CAR","RB2","7","1","3","2.0","0.7","2.0","0.0"
"3","undefined","","Saquon Barkley","NYG","RB3","11","1","3","2.0","0.7","1.0","-2.0"
"4","undefined","","Dalvin Cook","MIN","RB4","12","4","5","4.5","0.5","17.0","+13.0"
"5","undefined","","Alvin Kamara","NO","RB5","9","4","5","4.5","0.5","3.0","-2.0"
"6","undefined","","DeAndre Hopkins","HOU","WR1","10","6","8","6.8","0.8","5.0","-1.0"
"7","undefined","","Julio Jones","ATL","WR2","9","6","11","8.0","1.9","11.0","+4.0"
"8","undefined","","Nick Chubb","CLE","RB6","7","7","11","8.8","1.5","18.0","+10.0"
"9","undefined","","Davante Adams","GB","WR3","11","6","12","9.3","2.4","7.0","-2.0"
"10","undefined","","David Johnson","ARI","RB7","12","7","11","9.5","1.5","6.0","-4.0"
"11","undefined","","Le'Veon Bell","NYJ","RB8","4","9","15","10.8","2.5","8.0","-3.0"
"12","undefined","","Odell Beckham Jr.","CLE","WR4","7","9","12","10.8","1.3","12.0","0.0"
"13","undefined","","Travis Kelce","KC","TE1","12","13","15","13.8","0.8","15.0","+2.0"
"14","undefined","","Keenan Allen","LAC","WR5","12","12","20","15.3","2.9","24.0","+10.0"
"15","undefined","","Michael Thomas","NO","WR6","9","13","18","15.5","1.8","10.0","-5.0"
"16","undefined","","Aaron Jones","GB","RB9","11","14","26","18.0","4.7","32.0","+16.0"
"17","undefined","","Chris Carson","SEA","RB10","11","13","21","18.3","3.1","38.0","+21.0"
"18","undefined","","George Kittle","SF","TE2","4","18","25","20.5","2.9","27.0","+9.0"
"19","undefined","","Amari Cooper","DAL","WR7","8","17","35","22.5","7.3","33.0","+14.0"
"20","undefined","","James Conner","PIT","RB11","7","17","39","23.0","9.3","9.0","-11.0"
"21","undefined","","Mike Evans","TB","WR8","7","22","24","23.3","0.8","22.0","+1.0"
"22","undefined","","Todd Gurley","LAR","RB12","9","19","29","24.8","3.8","13.0","-9.0"
"23","undefined","","Leonard Fournette","JAC","RB13","10","14","40","25.0","9.5","25.0","+2.0"
"24","undefined","","JuJu Smith-Schuster","PIT","WR9","7","20","33","25.3","4.8","14.0","-10.0"
"25","undefined","","Antonio Brown","NE","WR10","10","16","45","25.5","11.5","21.0","-4.0"
"26","undefined","","Adam Thielen","MIN","WR11","12","17","32","26.8","6.1","23.0","-3.0"
"27","undefined","","Zach Ertz","PHI","TE3","10","22","35","28.8","4.7","26.0","-1.0"
"28","undefined","","Marlon Mack","IND","RB14","6","23","36","28.8","4.9","39.0","+11.0"
"29","undefined","","Joe Mixon","CIN","RB15","9","22","42","29.5","7.6","19.0","-10.0"
"30","undefined","","Chris Godwin","TB","WR12","7","27","32","30.0","1.9","49.0","+19.0"
"31","undefined","","Derrick Henry","TEN","RB16","11","23","37","31.0","5.8","36.0","+5.0"
"32","undefined","","Robert Woods","LAR","WR13","9","31","34","32.3","1.3","41.0","+9.0"
"33","undefined","","Patrick Mahomes","KC","QB1","12","21","40","32.8","7.1","20.0","-13.0"
