Name,Id,NFLTeam,MFLTeam,MFLTeamID,Roster,ContractYear,Salary,Position,ByeWeek,PreviousScores,ProjectedScores,Age,Weight,Height,College,DraftRound,DraftPick,DraftYear,Twitter,ADP,FantasyProsRanking
"Bills, Buffalo",501,BUF,,0,False,,6.52,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Colts, Indianapolis",502,IND,,0,False,,6.05,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Dolphins, Miami",503,MIA,,0,False,,4.96,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Patriots, New England",504,NEP,,0,False,,6.64,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Jets, New York",505,NYJ,,0,False,,5.31,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Bengals, Cincinnati",506,CIN,,0,False,,4.8,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Browns, Cleveland",507,CLE,,0,False,,6.77,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Titans, Tennessee",508,TEN,,0,False,,5.92,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Jaguars, Jacksonville",509,JAC,,0,False,,8.48,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Steelers, Pittsburgh",510,PIT,,0,False,,6.01,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Broncos, Denver",511,DEN,,0,False,,6.68,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Chiefs, Kansas City",512,KCC,,0,False,,5.83,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Raiders, Las Vegas",513,LVR,,0,False,,3.9,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Chargers, Los Angeles",514,LAC,,0,False,,6.93,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Seahawks, Seattle",515,SEA,,0,False,,6.08,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Cowboys, Dallas",516,DAL,,0,False,,6.5,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Giants, New York",517,NYG,,0,False,,5.02,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Eagles, Philadelphia",518,PHI,,0,False,,6.35,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Cardinals, Arizona",519,ARI,,0,False,,5.13,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Redskins, Washington",520,WAS,,0,False,,5.2,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Bears, Chicago",521,CHI,,0,False,,9.95,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Lions, Detroit",522,DET,,0,False,,5.09,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Packers, Green Bay",523,GBP,,0,False,,5.65,Defense,0,0,0,0,0,0,,0,0,0,,0,0
"Vikings, Minnesota",524,MIN,,0,False,,7.26,Defense,0,0,0,0,0,0,,0,0,0,,0,0
